"Sample_ID","Name","Completeness","Contamination","GC","Genome_size","Contigs","Longest_contig","N50","Mean_contig_length","Predicted_genes","Domain","Phylum","Class","Order","Family","Genus","Species"
"bin_001","m001",98.6567164179104,0.497512437810945,0.571933463070894,3026109,22,528690,278747,137550.409090909,3252,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Kozakia","unclassified"
"bin_002","m002",95.8519622454048,2.45901639344262,0.449550623594155,3036430,26,446717,243105,116785.769230769,3195,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","unclassified","unclassified"
"bin_003","m003",95.4449648711943,0,0.541396995467362,3885596,13,510070,326944,298892,3940,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","unclassified","unclassified","unclassified"
"bin_004","m004",93.5253054101221,0.523560209424083,0.443389670535459,1466349,6,458003,283777,244391.5,1709,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Fructobacillus","Fructobacillus pseudoficulneus"
"bin_005","m005",91.3391282438901,0,0.39279010975782,1910570,35,251565,137700,54587.7142857142,2328,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","unclassified"
"bin_006","m006",88.9135685333119,3.47254748894093,0.518547887233633,3742960,74,507407,236560,50580.5405405405,5423,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","unclassified"
"bin_007","m007",88.8142104542966,4.83019853709508,0.643137640129353,3817455,32,598336,408640,119295.46875,4339,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Frateuria","Frateuria aurantia"
"bin_008","m008",87.4680715197956,3.51213282247765,0.406841761567253,3139250,241,83782,18159,13025.9336099585,4192,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified"
"bin_009","m009",83.6096582094415,0,0.526441415381754,2623914,26,325719,126236,100919.769230769,3398,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","Acetobacter orientalis"
"bin_010","m010",79.90319054775,0,0.577141575206754,2469479,34,308319,166841,72631.7352941176,3709,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","Acetobacter ghanensis"
"bin_011","m011",79.1706328221399,1.83970856102003,0.521056637932808,1749852,35,252687,70104,49995.7714285714,2516,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","unclassified","unclassified"
"bin_012","m012",76.3541666666666,7.61539264828738,0.508473335650723,6639652,299,119720,37334,22206.1939799331,11319,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","unclassified"
"bin_013","m013",75.5263515687606,2.82171380532036,0.501973477843932,3347390,75,231813,69601,44631.8666666666,3931,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","unclassified"
"bin_014","m014",75.406746031746,2.57936507936507,0.548298427183169,5943413,177,130081,54719,33578.604519774,9152,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","Spirosoma oryzae"
"bin_015","m015",75.0349912217991,0.497512437810945,0.594888256330099,2253282,26,271154,148086,86664.6923076923,3404,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","unclassified"
"bin_016","m016",74.0398550724637,0.543478260869565,0.416365862578911,1572175,64,130422,45493,24565.234375,2420,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","unclassified","unclassified"
"bin_017","m017",73.4079601990049,0.497512437810945,0.595878368828804,1995378,12,824066,352750,166273.166666666,2264,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter","unclassified"
"bin_018","m018",68.9655172413793,0,0.56267766636491,2774864,203,65331,17964,13669.2807881773,4574,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter","unclassified"
"bin_019","m019",64.6551724137931,0,0.496952683555953,4187783,32,994766,203258,130868.21875,4673,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","Tatumella citrea"
"bin_020","m020",63.1007115489874,2.29885057471264,0.345588103420071,3679982,252,58483,19471,14603.1031746031,6686,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Arachidicoccus","Arachidicoccus sp. B3-10"
"bin_021","m021",63.0877742946708,0,0.331923471934505,2856782,304,38870,11429,9397.30921052631,5182,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","unclassified"
"bin_022","m022",61.8965517241379,0,0.607761916079609,3416476,121,315730,79944,28235.3388429752,4457,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter","unclassified"
"bin_023","m023",61.7207288632805,1.8175338560228,0.514529587676124,3645217,112,185431,51861,32546.5803571428,5584,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","unclassified","unclassified","unclassified"
"bin_024","m024",56.8965517241379,1.72413793103448,0.5560343011817,3537021,119,254317,51571,29722.8655462184,4429,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter","unclassified"
"bin_025","m025",55.4967731654848,0.613496932515337,0.374999292481626,1236717,107,80632,13270,11558.1028037383,1509,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","Weissella paramesenteroides"
"bin_026","m026",54.5977011494252,3.44827586206896,0.523601085427669,5426064,474,55846,14307,11447.3924050632,9344,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","unclassified"
"bin_027","m027",53.4782185819249,9.34287752320539,0.507820056582995,2149409,46,288418,95044,46726.2826086956,2498,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","unclassified"
"bin_028","m028",53.2915360501567,2.77429467084639,0.334717538044079,1662808,187,38399,9914,8892.02139037433,3443,"Bacteria","Firmicutes","Bacilli","unclassified","unclassified","unclassified","unclassified"
"bin_029","m029",53.2004391681115,0,0.651351801293149,2600937,263,58844,11503,9889.49429657794,2922,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas composti"
"bin_030","m030",50,1.72413793103448,0.421948566415808,2707375,289,40994,11331,9368.07958477508,5198,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified"
"bin_038","m038",44.3834900731452,9.13793103448275,0.49395848634818,4461713,45,2382067,2382067,99149.1777777777,4944,"Eukaryota","Ascomycota","Dothideomycetes","unclassified","unclassified","unclassified","unclassified"
"bin_041","m041",38.8150011981787,8.87850467289719,0.424438217346416,6120561,1304,14985,4777,4693.68174846625,9796,"Eukaryota","Ascomycota","unclassified","unclassified","unclassified","unclassified","unclassified"
"bin_045","m045",36.8172635445362,7.61478420569329,0.513786422964991,15152734,3797,14786,4094,3990.71214116407,25991,"Eukaryota","Ascomycota","unclassified","unclassified","unclassified","unclassified","unclassified"
"bin_055","m055",43.1191222570532,8.10867293625914,0.391255965633349,3650283,42,385383,285819,86911.5,3799,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","unclassified"
"bin_066","m066",76.0326086956521,0.271739130434782,0.430010405988879,2575440,35,572689,129888,73584,3336,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","unclassified","unclassified"
"bin_067","m067",87.1415502529334,0.523560209424083,0.338601513475282,2533639,55,750854,372754,46066.1636363636,3832,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Liquorilactobacillus","Liquorilactobacillus cacaonum"
"bin_084","m084",62.9310344827586,0,0.518960069497832,2081216,3,1053575,1053575,693738.666666666,2637,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","unclassified"
"bin_086","m086",40.5104241552839,5.41576803259046,0.353063776816894,3426245,8,715888,581695,428280.625,2986,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycodaceae","Hanseniaspora","Hanseniaspora opuntiae"
"bin_126","m126",88.3640205619021,0,0.531206154408452,2834521,9,1512519,1512519,314946.777777777,3974,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","unclassified"
"bin_133","m133",98.0072463768116,1.22282608695652,0.397560404236896,2023368,18,487838,169553,112409.333333333,2306,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","Weissella fabalis"
"bin_134","m134",34.0462497004553,4.42127965492451,0.380510384300259,4596458,696,25636,7245,6604.10632183908,7610,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia kudriavzevii"
"bin_140","m140",71.8354705135911,1.67572463768115,0.396467880661406,1642017,99,154799,23130,16586.0303030303,2443,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","Weissella fabalis"
"bin_141","m141",62.019448213478,0.497512437810945,0.547322299959557,1651716,5,962620,962620,330343.2,2018,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","unclassified"
"bin_143","m143",51.5302276496306,0,0.529330764251779,1600572,15,414358,155430,106704.8,2051,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","unclassified"
"bin_145","m145",66.1586082405754,1.01092896174863,0.522142810883825,2161740,28,288251,103856,77205,2756,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","Tatumella saanichensis"
"bin_148","m148",83.4124830393487,0.99502487562189,0.572301477187621,2490205,18,487588,233140,138344.722222222,3031,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","unclassified"
"bin_155","m155",31.1107117181883,6.69182842080038,0.304176892323612,6259989,1109,27591,6185,5644.71505861136,12728,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia membranifaciens"
"bin_169","m169",94.3247462919594,1.69433465085639,0.53865888982233,5411278,78,383077,110461,69375.3589743589,6302,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","unclassified","unclassified","unclassified"
"bin_176","m176",85.2349788082772,0.523560209424083,0.452182957671371,1325793,15,209491,123304,88386.2,2189,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Fructobacillus","Fructobacillus pseudoficulneus"
"bin_187","m187",55.8376898182723,3.72168284789644,0.360718354096379,2198136,202,50353,14313,10881.8613861386,4687,"Archaea","Thaumarchaeota","unclassified","unclassified","unclassified","unclassified","Thaumarchaeota archaeon"
"bin_196","m196",50,0.862068965517241,0.527547900455592,2055565,137,72028,16788,15004.1240875912,3152,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","Tatumella saanichensis"
"bin_197","m197",63.3573388203017,0.617283950617283,0.444723717689847,2421762,7,861846,704376,345966,2549,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","unclassified","unclassified"
"bin_207","m207",88.5104475180305,0,0.603689166772999,2938875,14,722440,459740,209919.642857142,3304,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter","unclassified"
"bin_216","m216",92.5921860046163,0.261780104712041,0.340225512515547,1938429,12,373952,343739,161535.75,2561,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Liquorilactobacillus","Liquorilactobacillus cacaonum"
"bin_219","m219",77.5862068965517,0,0.619517031579582,2452914,49,210043,76768,50059.4693877551,2781,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter","unclassified"
